Dataset,Method,M,SMSE_mean,SMSE_std,MSLL_mean,MSLL_std,TrainTime_mspt_mean,TrainTime_mspt_std
POL,POE,100,0.180547824949525,0.0132933911409355,-1.02759693703527,0.0513420652605526,0.080240075,0.000427371706626682
POL,POE,200,0.132727843319188,0.00429527104212992,-1.3546884504554,0.0680255838104829,0.094627375,0.00232210249181642
POL,POE,300,0.100163475453504,0.00327049914378992,-1.51834520285233,0.0515338482393769,0.105351058333333,0.00061730667942146
POL,POE,400,0.0877471787112766,0.00486129883095727,-1.58771536938388,0.0345260460075378,0.119637783333333,0.000374426026016274
POL,POE,500,0.0779378962134459,0.00463712699785411,-1.61806783132433,0.0125618215965912,0.136025491666667,0.000675251723587831
POL,POE,600,0.0701058076556138,0.00355027478054125,-1.68013837935994,0.0270185731364453,0.1508226,0.00202119230730898
POL,POE,700,0.0642365730269831,0.00570289275975997,-1.71282759657469,0.0378058019384802,0.164394758333333,0.000304370388397644
POL,POE,800,0.0599103682907277,0.00481580756726225,-1.7244550190912,0.039568267699632,0.179387158333333,0.00242399590879056
POL,POE,900,0.0530684651320803,0.00178327285001147,-1.76087631682479,0.019110103659178,0.2022347,0.00414716208034179
POL,POE,1000,0.0472135592657685,0.000971801894272604,-1.7542516717551,0.0518725807167706,0.213873325,0.00216676070494643
POL,POE,1100,0.0450908172425396,0.00212486049966455,-1.77069327253286,0.0279844091202565,0.235965958333333,0.000586321317801368
POL,POE,1200,0.0428142204402575,0.000427186784679738,-1.76519615302878,0.0458431923633316,0.257609908333333,0.0025258592493859
POL,POE,1300,0.0411402743089177,0.00282637916907115,-1.82356470947604,0.0538437891406566,0.274878791666667,0.00135273762545935
POL,POE,1400,0.0381858020162166,0.00184469876380541,-1.8204821512456,0.069514692637833,0.289042475,0.00219147722709477
POL,POE,1500,0.038084072114395,0.00201281571807106,-1.81316100205389,0.061077394830585,0.30500585,0.00247202813293055
POL,POE,1600,0.0356433016612611,0.000432946097500327,-1.80224024266404,0.0669239400333851,0.322950625,0.00476785181128514
POL,POE,1700,0.0347174264470695,0.000999153483362827,-1.84315175032513,0.0531620515965582,0.350519216666667,0.00616106643859919
POL,POE,1800,0.0358733245221374,0.00247980483917708,-1.82387105839164,0.0434122673562991,0.36483845,0.00282335727094092
POL,POE,1900,0.0327776928992984,0.00122908585848676,-1.84500910895476,0.073532765717363,0.38298715,0.00243044736056962
POL,POE,2000,0.0314745415165545,0.000520475060951739,-1.86048564936675,0.0502213370640146,0.404016158333333,0.0046903924916614
POL,POE,2100,0.0332235785635854,0.00110219336533109,-1.84087543797082,0.0563292976117459,0.426705975,0.00285975805936883
POL,POE,2200,0.0307520347476386,0.00131945628255679,-1.8143944729913,0.045512120237477,0.433552216666667,0.00158521015450897
POL,POE,2300,0.0309315948080711,0.00161557600747081,-1.81602969716942,0.0489897875366448,0.452421375,0.000496716661563715
POL,POE,2400,0.0294110003755268,0.000427436887524593,-1.81756584808562,0.045726865562755,0.47483435,0.00269890506351648
POL,POE,2500,0.0291954483611484,0.00138351994918528,-1.82208618689955,0.0189126197996258,0.4968072,0.00165736304354993
POL,GPOE,100,0.180075146264103,0.0134816557144455,-1.02876615656064,0.0527554804520559,0.080698925,0.000474422203185096
POL,GPOE,200,0.132274026698858,0.00448253575013643,-1.35510610638515,0.0684887256920755,0.093875475,0.00011730976888136
POL,GPOE,300,0.0992847221717716,0.00334444956484881,-1.52095351874829,0.0502103891741633,0.105722516666667,0.000696120544667611
POL,GPOE,400,0.0868778508823223,0.00476523480187477,-1.59151014520764,0.0323903636046161,0.121143133333333,0.00226655417102886
POL,GPOE,500,0.0768922845631323,0.00456814789104547,-1.62881503666278,0.00503850352149653,0.137131716666667,0.00148748013292053
POL,GPOE,600,0.0691325536714808,0.00369344123253219,-1.69200707105538,0.0274625339793644,0.151355733333333,0.000464881520076177
POL,GPOE,700,0.0631923723323309,0.00594846869893624,-1.72694670708529,0.0399613627733548,0.165834116666667,0.00146559763542327
POL,GPOE,800,0.0588857082837841,0.00492706082527169,-1.73998343623154,0.043229687804947,0.179891658333333,0.00125381051955959
POL,GPOE,900,0.0519749036346345,0.00207054061863934,-1.78013621800171,0.0217273850250254,0.20218605,0.00217176440193222
POL,GPOE,1000,0.046091254297238,0.000866265139371559,-1.77321128205105,0.0560049027070419,0.216615066666667,0.00629646653138355
POL,GPOE,1100,0.044121521968011,0.00209704334536375,-1.78856460012233,0.0312265935115187,0.239412691666667,0.00301651195478043
POL,GPOE,1200,0.0416254010832641,0.000634850988907479,-1.78667887498206,0.0432558437059194,0.259499683333333,0.00123597191825231
POL,GPOE,1300,0.039807649572911,0.0028857580214108,-1.85328029358637,0.0575187912981767,0.274070241666667,0.00445077236600104
POL,GPOE,1400,0.0371547266520358,0.0017013328354709,-1.8444277874738,0.072843795311843,0.292627675,0.00484104420831652
POL,GPOE,1500,0.0366918329732146,0.00194260534188482,-1.84222955139041,0.062633341383106,0.312498508333333,0.00273903348171548
POL,GPOE,1600,0.0343086701193898,0.000538234885889408,-1.83228911327095,0.0708326091258923,0.331215475,0.000416687835795581
POL,GPOE,1700,0.0335589366155024,0.000947832233438392,-1.87334406108021,0.0600464932719867,0.348439441666667,0.00251147261113044
POL,GPOE,1800,0.0346200741197279,0.00217246418370969,-1.85434720266981,0.0557905776918849,0.367511583333333,0.00243859636334783
POL,GPOE,1900,0.031613483510553,0.00120030562236277,-1.87565992651038,0.0759075337260833,0.387652825,0.00248911143746619
POL,GPOE,2000,0.030300464397842,0.000664328104021615,-1.89323873979469,0.0570751436159592,0.408578525,0.00291173795277406
POL,GPOE,2100,0.032061089767123,0.00107613061119012,-1.87638458534372,0.059718384120746,0.427560391666667,0.00279568866899703
POL,GPOE,2200,0.0296980798703516,0.00142055822791756,-1.85097204766831,0.0370838948957057,0.436558925,0.00220225645517841
POL,GPOE,2300,0.0298134560659076,0.00160451473619444,-1.84554240166889,0.0492508891237307,0.4557748,0.00159452230640557
POL,GPOE,2400,0.0283648997858496,0.000555908119457842,-1.854059822443,0.0484934436047187,0.478317233333333,0.00125027341318141
POL,GPOE,2500,0.0279824905856029,0.00106790146290966,-1.85988603489134,0.0109340900103205,0.500142433333333,0.00219418737040803
POL,MOE,100,0.187100293385354,0.0112878206754478,-0.994599121495449,0.0385497677426282,0.0774325666666667,0.00118371190575805
POL,MOE,200,0.141526069753166,0.00303691556314735,-1.29711858081764,0.0608067235558282,0.0908577916666667,0.00120275835383021
POL,MOE,300,0.113926606759275,0.00429620434992081,-1.41301180615883,0.0701289514646364,0.101826291666667,0.00100128696727428
POL,MOE,400,0.102083400504048,0.00604306923669241,-1.46200391077871,0.0679899955806311,0.116470458333333,0.00269843365866355
POL,MOE,500,0.0935391729070382,0.0057461903902946,-1.43871764914473,0.0574506681334827,0.129588375,0.00220817538493322
POL,MOE,600,0.0863381284478941,0.00458736889383896,-1.467048890035,0.0627061333897308,0.141161191666667,0.000262730339813161
POL,MOE,700,0.0818706737837092,0.00533660917457879,-1.4617428144774,0.0721190249115478,0.155789433333333,0.000414692440500576
